Title,Date,User,Body,Rating
Worthy Replacement for daily Diane Rehm Show,04/30/2019,R43T,"Although no one can replace Diane Rehm, Joshua Johnson is going a great job hosting 1A. I like the wide range of topics and the even-handed, let's get to the essential truth approach Joshua uses with all the topics and guests.",5
Well Presented and inclusive,04/23/2019,chocchipman,Joshua Johnson and the team producing this podcast do a fantastic job of raising and exploring profound questions important to our local and notional conversations. Thank you.,5
Exceptionally Biased — Unsubscribe,04/15/2019,Deleted this game,"I could not listen to this one sided,clearly partisan discussion.",1
"Insane, far right wing apologist",04/12/2019,Zizifex,"If it makes for good, balanced reporting to have off the deep end far right pundits like Inez Stepman on, there should also be far left pundits to counter Stepman. However, there never are. 1a, like most media, has been gamed by secretive libertarians that claim everything is biased left and so give a platform to joyless misanthropes like Inez Stepman. Sadly, Joshua Johnson gives oxygen to sometimes appalling white privilege fear based points of view. So disappointing on so many levels, far too often.",1
Not on point,04/09/2019,YaxieBherga,"Sorry to say that I stopped listening and change the station... when it is on my local npr station. The thing that tipped my scale was when he was interviewing a young African American girl. The topic was that she and other girls of color were being treated differently in relation to the dress code. The host’s response was patronizing. Instead of following the point, he asked her if she can understand the perspective of a father trying to protect his daughter from (xyz-fill in the sexist and limiting fear story,) which had nothing to do with what the girl was describing. She was too young to redirect him and no one else did either. He basically joined the adults who were bullying her body into repression.",2
More balance,04/03/2019,Markewms,"Diane would never have handed off to a conservative, but she handed off to a really sharp, quick, erudite successor. I just wish for a bit more balance sometimes. Nothing wrong with an occasional clash of ideas.",3
terrible,03/26/2019,Khkhgkhg,he gets all weird if he's jealous of someone he interviews....,1
How to raise Boys,03/25/2019,Dennesau,Candis Pin is erroneous in saying that male and female brains are different that theory has been debunked and to her veteran status is paired with her antiquated thoughts and beliefs in old research. As of late the research sez that truly from infancy males and females are treated differently therefore by the time they reach school age they will already fall into gender roles. It has been concluded that baby girls are spoken to more than baby boys and that baby boys are played with hands more than baby girls thus the upbringing of children is what separates them falls on parents to treat either the same and not as a sex.,5
Free and Responsible Speech is Alive and We’ll,03/21/2019,H31974,"1A offers the best news round table on the air. The first hour is dedicated to domestic news and the second hour is dedicated to international news. The host is smart, respectful, curious, and prone to making nerdy pop culture references.",5
Top Notch with insightful guests about current events,03/20/2019,greensmile098,Love this podcast! This is my main source of keeping up with current events. Host is fair and open to many points of view while monitoring guests.,5
Enough already,12/23/2018,Hate A1 sauce,"This isn't an NPR-worthy program. NPR isn't talk radio. It's supposed to be educational, informative and thought-provoking. I expect intelligent programming from NPR, not a drive-time radio call-in show. Replace it already. Please.",1
What you need to know in an intelligent & fun production,12/24/2018,LANCEMAN 9,Open your ears & your mind. Let Joshua Johnson & the 1A staff will take you on a journey with this great everyday podcast.,5
Far Right Normalization,12/27/2018,Lotus Effects,"A truly sad display of right wing propaganda normalization, dressed up as neutral & fair reporting. It’s unlistenable if you know what’s actually happening to America.",1
Not Diane?,01/01/2019,rbr34,"Comparisons to Diane Rehm miss the point - nobody can compare to her! The show should be judged on its own merits. I enjoy it. That said, the incomplete podcast is a bit annoying.",4
Joshua Johnson is the best serious interviewer out there.,01/02/2019,eddie from seattle,The show is excellent. Thought provoking. Smart. I was worried when Diane left the air but Joshua filled her shoes quite well but he did not just follow her formula. He has brought his own thinking into the show and does that well.,5
Great news roundup!,01/12/2019,Lauren in Columbus,"I love the weekly news roundup. Smart, calm, measured, genuine. Great host, great guests. It’s part of my weekly routine!",5
Incredibly informative ⭐️⭐️⭐️⭐️⭐️,01/15/2019,kirsten amber,"Varied, intelligent and interesting conversations about all manner of subjects. Above all, the hosting is second to none!",5
"Great show, podcast incomplete",01/24/2019,jelibeanpasadena,"I love the show, especially Joshua Johnson. I’m just disappointed that the podcast only plays 35 minutes of a 2 hour show. I really wish it could play all the discussion segments as I sometimes miss it live.",4
MIA,01/27/2019,Cindoc,"Like many other comments mention, where are the rest of the shows? Otherwise it’s usually very good content.",4
BEST QUALITY NEWS PROGRAM (on any platform),02/07/2019,hlharrower18,"Absolutely love this show. Love Jake Johnson, he may be the next great host for years to come. Not only does he bring in his own personality in very subtle, but needed ways, he also empathizes with many sides while also drawing the line on certain issues (not letting guests question scientific facts! THANK YOU). With their varied topics and respectful guests I feel like I get to learn about the world holistically. They talk about actual things that I am interested, and introduced me to things I never thought about before. If you listen to anything, listen to the Friday News roundup. Thanks 1A!",5
I miss Diane,02/09/2019,randyrisher,"Hey Joshua, you act like your listeners are morons. This is NPR, we are smarter than you. And can you stop with the high pitched squeaking at the end of sentences.",1
Disappointing,02/14/2019,EdtheDCguy,"I never thought I would delete WAMU's flagship podcast, but I am. I would like to hear more from the guests! If you tune in on 1A at any moment, you will get Joshua: Setting the stage for the rest of the show or the next series of questions, plugging an upcoming show and soliciting voice mails for it, reading a listener email or tweet, taking a call and then getting to know the caller, giving his take on the listener question, giving the guest a couple options of how she or he could answer a question. When the poor guest finally gets a chance to talk, he or she will blurt out a whole bunch of stuff, because it is a rare opportunity to talk. There is no flow. Instead of saying (as Diane did), ""Short break, right back,"" you will get instead a repetition of the guests' names and titles, a listener question to be answered after the break, then you get a break, and then after the break you get the same question you got before the break---plus Joshua's take on the question. This show needs to draw out the guests, with far, far fewer breaks in the action.",1
I tried to like this podcast.,02/18/2019,Abu Mahmoud1,"I downloaded the podcast because I miss TOTN, but after hearing the inaccuracies, misinformation and the same shallow negative narrative about life in Saudi Arabia I decided to unsubscribe. People shouldn’t be allowed to outright misinform others without being checked.",1
Host does his best to avoid bias,02/24/2019,Jschmee,Thank you for striving for unbiased reporting! Keep it up,5
Every day listener,03/01/2019,A-Schu,"Joshua Johnson is incredibly sharp, well spoken, and culturally savvy. He juggles wrangling his panelists and incorporating listener comments with charisma and finesse, all while injecting his unique personality and background. Though the show leans ideologically left, it remains one of the most politically neutral programs available today. It engages differing viewpoints while not shying away from calling out falsehoods and copouts. I loved the Diane Rehm Show and feel that 1A is a worthy follow up. We need more level-headed, in depth dialogue programs like 1A in the news. I’m able to listen almost every day, and wish the full show were published here so others could too!",5
Well rounded and fair,03/11/2019,O7diesel,"I like what is happening in this podcast, different points of view CIVILLY discussed. Not a bunch of nonsensical unproductive yelling. We need more peace and respect for differing opinions and each other in this Country, remember the old adage: United we stand, divided we fall.",5
Love it!!,03/11/2019,Ellerpea,"This is my favorite podcast! Joshua is very knowledgeable, fair in his presentation, and also fun and humorous! I’m always sad when he’s not there and there’s a sub, haha. My fave way of getting the news.",5
Incomplete,03/13/2019,DW-99,Why not post the entire two-hour show? This does not make any sense.,1
Where’s yesterday’s show?,03/14/2019,diodido,About autoimmune diseases. I could only catch a few minutes of it and promised myself I would listen to the podcast. No podcast! So disappointed.,2
Bad Faith,03/16/2019,Fyndhorn Joe,"While the title of the show indicates that these conversations welcome the freedom of speech, too often there are people representing bad faith agendas on an issue that get brought in and regarded with the same expertise as someone who has truly studied the issue for a long time. Despite Mr. Johnson being better at fact checking them on-air, when this has to happen it turns into a punching bag session and makes for cringeworthy listening.",2
Great show,08/24/2018,BangDingOw,"Good interviews, diverse perspectives, broad topics, a host with savvy and integrity. Podcast is half the show, and the full shows can be found on the website. The podcast of the roundup is the full two hours, and it’s the one I listen to most weeks.",5
Weak host,08/27/2018,pluperfect,I expected more from WAMU. Jackson is a weak host - so robotic in his delivery and so keen on false equivalencies. Even when he tries to be humorous it comes across as cringeworthy. I don’t get how he is still on the air. Such a disappointment because the show is well-produced and generally has great guests. I just can’t listen anymore because of Jackson.,1
Great podcast,09/10/2018,Bibi Jean,"Joshua holds back no punches, at times that’s my favorite part of listening to the episodes",5
9/11/18 Deep State,09/11/2018,cdrez,"Whoever the host was, never have them on again. Disgusting to hear FOX-like propaganda on an NPR podcast.",1
Why not the full show?,09/11/2018,JayJay85a,it easier to set up a playlist during my commute using an ipod than is it to have to use both my phone and the ipod becasue nonly half the show is available via a podcast,2
Journalistic interviews,09/17/2018,gerry shannon,"Host Josh Johnson is professional, intelligent and informed. He and staff have discussions of current and important topics. He has always done research on the topics discussed. He asks important and insightful questions of guests and allows them to answer. He will ask the right follow-up questions so guests are pressed to answer directly and not weasel out with an indirect and/or incomplete answer. I did not know of Johnson before this show but now glad that I do!",5
Love the podcast could be longer,09/21/2018,Ooommzzz,"Hi Joshua love your podcast. It is one of the best. You present such varied topics that are interesting and educative.
Politics / current affairs is being covered by so many and can get tiring and depressing, with all the negative things all the time from the current administration.",5
Moving toward “puff-piece” media,09/25/2018,cdv2016,"Need to engage both sides more often, like some older episodes. The frequency of extreme and biased guests has increased and the host does not engage serious opposing arguments. Don’t fall into the trap of “puff-piece” media. If you’re stepping on toes and sorting through the real arguments you’re on the right track.",2
Unbiased,09/30/2018,LLSSSTTTTT,"One of the very few NPR shows that truly tries to discuss all sides. Thank you, Joshua.",5
Well produced but shallow,10/01/2018,Tugger252,"A good podcast but largely uneven in viewpoints. Worth listening to, but plays into the echo chamber issue we have.",2
