Title,Date,User,Body,Rating
Love it,05/03/2019,New Nashville,I love this!!!!,5
Podcast? This is my favorite NPR radio show,05/01/2019,Page Larkin,"Podcast? This is my favorite NPR radio show
re-packaged as a so called “Podcast”
Love Fresh Air and Terry Gross.",5
Automatic Download,05/01/2019,evg.bones,Dozens of this podcast were just downloaded to my library without my say so. A gigantic pain to delete every single one.,1
iTunes keep replacing this feed with Story Corps,04/30/2019,loix,Please fix this glitch!,2
What happened to Code Switch??,04/30/2019,FEAU,Apple Podcasts took my Code Switch subscription and wrapped it into Fresh Air without any warning! How disappointing - a bit of a heads up regarding the restructuring would have gone a long way. I’ve unsubscribed-I don’t have the mental bandwidth for all that Fresh Air covers-but I will finish listening to the Code Switch episodes I had downloaded before the merger. Peace.,5
Appreciate you!,04/25/2019,PNW boomer,"As Gene says often “I appreciate you”! Thank you for a “woke” podcast that informs with interesting interviews and commentaries. As a 57-year-old mixed race woman, I have learned so much I did t know I needed to know (like what woke means). I get educated without having to embarrass myself with what are probably basic questions (also didn’t know Latinx and cis-gender or the explanatory comma for that matter!) I keep listening hoping I might be considered woke one day by my young brothers and sisters.",5
Always Insightful,04/24/2019,nadi624,"This is easily my favorite podcast. I've been listening from the beginning and have enjoyed 99% of the episodes and always look forward to each one. Hard to pick faves but I especially appreciated the one about black characters in horror movies. I am a fan of the genre but the analysis provided by the professor on the topic was mind-blowing and made me think, ""Of course! It all makes sense!"" Now her observations seem so obvious. There are also others like the one about the explanatory comma. I enjoyed that one and didn't really think much about it and was surprised to hear how much some people felt strongly against it. It's really helpful when this kind of information is shared because even though it can be somewhat jarring to hear about backlash to something you don't think is controversial AT ALL, it helps you understand where others are coming from though this is also in large part to a great production team. As for some constructive feedback, use fewer academics. As good as they often are, there are other experts out there.",5
Best ever Podcast!,04/10/2019,alistarharris,"Y’all blow my mind every time. Your stories are informative, timely, real and infused with respect and dignity. Thank you for making podcast about race, identity and culture that represents our larger black and brown identities real and dope. I appreciate you. #codeswitchisdope",5
667: Wartime Radio,04/10/2019,Racq the Belle,"This episode was well done and I enjoyed it, but LOL at Ira saying “I guess that’s what America does these days; make people work for free,” as if America doesn’t have a long history of slavery.",5
Episode on how to talk about Israel,04/05/2019,ernchamp,I was presently surprised with the balance of the episode . You guys did an excellent job of addressing why it’s so dangerous for some ... (not me) to criticize the human rights violations and other issues involving Israel . Good work folks,4
Great Podcast!,02/09/2019,Lyntwhit,"I just listened to my first episode, Pretty Hurts. It was a great listen. Looking forward to hearing more!",5
Timely talk,02/13/2019,A listener in the little apple,"I learn something every time I tune in. I appreciate how Code Switch takes on tough questions and provides thoughtful, informed answers.",5
White dude review.,02/13/2019,f*ck your unique nickname,"Pretty amazing. It's like having an eye opening conversation with a colorful friend, but throw in a researcher.

I think you'll like it.",5
Love,02/14/2019,cgmayswill,Insightful look at race and its politics in America.,5
Code Switch,02/14/2019,RoadDogFarAway,Always a pleasure to listen & learn from this shows subject matter. Very relevant for every human-being.,5
Best podcast,02/16/2019,MCFZS,"I have been listening since the first episode aired. Brilliant, deep, messy conversations about race that somehow stays funny and fun.
Subscribe. Listen. Learn.",5
"Excellent and vital, especially for white people like me",02/16/2019,kcinspb,"Code switch provides a vital discussion of the issues of the day which are influenced by racial dynamics. I enjoy the hosts and their interaction, but the best parts are their guests and the nuanced discussion of life in the US for people of color.",5
"Thoughtful, courageous & Smart.",02/20/2019,Needle Diamond,"Sometimes uncomfortable always thoughtful and engaging.

They courageously and carefully examine identity always with a multifaceted and intersectional approach.",5
Neato show,02/21/2019,Sonjadoan,In-depth perspectives,5
Code switch,02/22/2019,alysaneh,Love code switch! it makes my hour drive to work bearable!!,5
Gene needs to work on his sexism,02/25/2019,Mamaknitty,"There is a huge controversy going on in the knitting community right now and the story was pitched to code switch and Gene dismissed them as some girl thing not worthy of the gum on his shoe. He mocked them and was very rude. women of color are having a very real discussion about racism that effects thier lives, business and thier voices. Shame on code switch for participating in such a blatent display of sexism",1
"thoughtful, well said, makes me think!!",03/03/2019,Morah1,"ive only listened to a few episodes so far, and i already love it. before i listened, i saw a lot of angry one star reviews about the first episode; I now know that those reviews are probably just angry yt people who are uncomfortable talking about their race as an “identity.” As a white jewish-american woman, I love these types of conversations, even IF they make me uncomfortable. sometimes, it’s okay to be uncomfortable. this is DEFINITELY one of those times!!",5
Amazing!,03/06/2019,SophiaHolly,This is a vital podcast ❤️,5
Great,03/17/2019,DBrown2019,One of my favorite podcasts. I love how they mix history with current news and educate in a non-preachy way. We need more of these conversations.,5
SF State Episode,03/24/2019,gal_wonder,Thank you for the episode about San Francisco State. I grew up in the Bay Area and lived in SF for a decade and never knew this piece of its history in such depth. Proud of the place I still call home.,4
Vegans,03/28/2019,Carlitos9,"I loved that you talked about vegans from other cultures as a Colombian vegan, im keeping my traditions but leaving meat out or using vegan meat and cheeses.",5
Love this podcast!,03/28/2019,Haunani31,I just binged 5 episodes and l’m hooked. Great research from the facilitators and guests. This show does not addresses race but it does not camp out in victim hood. Excellent conversation starter.,5
Great Pod!,03/29/2019,Eaglefox20,Excellent pod that covers hard to talk about racial issues. Content skews toward issues facing African Americans. I would like to see more content facing other races.,5
"Mostly Love It, But...",03/31/2019,lady luvvvva,"I’m disappointed that there was never any focus on Black islands hit by hurricanes. Additionally, sometimes, I feel like Shereen is reaching.",3
Good but could be better,04/02/2019,Saro11215,"Really interesting podcast with valuable insights. Great job uncovering the day-to-day impact of racism in America, and helping listeners understand how and why endemic racism exists and how its unfairness manifests in our society. Still, I think the podcast could take more risks.",3
A POC perspective on race in America,12/12/2018,thundershower,"I’m so happy this show exists. Some of the episodes are really rewarding and shed light on perspectives that don’t get much airtime on traditional media outlets. I loved the stories about whiteness, the series following the school for black boys in DC, and the many segments about the immigrant experience. I don’t subscribe to the podcast anymore, however, because a few too many episodes were too upsetting. One that immediately comes to mind had a segment comparing sound advice regarding sharing expenses based on actual finances to a cynical take on restorative justice (in my opinion) where the white partner has to pay more as some sort of white tax. More upsetting, the episode on Civil War monuments presented a “he said/she said” narrative comparing an opinion based on the actual history of the Civil War to one steeped in the Lost Cause narrative — the latter being a widely discredited attempt at historical revisionism that occludes the true motivations of the war. Some of the statements the source said — that the Civil War was not about slavery but conflict between Northern English Americans versus Southern Scotch-Irish Americans — were just clearly untrue and I don’t understand how the producers didn’t catch that.",3
The podcast that talks about talking about race,12/12/2018,JymmiWynn,"Code Switch - the podcast that talks about talking about race issues while saying nothing. You name the subject, Code Switch will make it about race - even dogs.",1
Keep it 100!,12/14/2018,codeswitchday1,Don’t let the haters get you down Code Switch Team! Best podcast out here and they have the discussions others refuse to touch.,5
Always thought provoking and at times entertaining and cathartic,12/19/2018,MPAnon,"One of my favorite discoveries of 2018! The lens through which they discuss issues is truly refreshing, especially for NPR (which is a well intended organization but like everything heavily dominated by white male perspectives). I don’t agree with all their tales and I LIKE that. Growth comes from both challenge and affirmation. Do yourself a favor and make this a weekly download.",5
Critical Race Theory: the Podcast,12/22/2018,Standpoor,"I'm a liberal, atheist, Middle Eastern gay man, and I'd rather stand first row at a Trump rally than be locked in a room with these feaux woke narcissists.",1
Love this podcast,12/26/2018,podsforwren,"I just love code switch. You all speak my language! And amazing job on the DNA episode, giving us all different perspectives on the controversial topic.",5
Critical and caring podcasr,12/26/2018,AlejandroES,"I admire how they illustrate the complex role that race plays in our everyday lives and hxstories. I also appreciate the diversity of topics that they talk about in relation to race and that they bring people/professionals to talk about such topics. Lastly, I love how much I can relate to the the curators of the podcast and the way they facilitate the podcast is funny, critical, and easy to follow. Overall, this podcast is critical, urgent, funny, and loving.",5
The wide range of reviews speak for itself,12/28/2018,Rosunitiner,"Tough topic. Any subjects about race gender and/or socio-economic status is uncomfortable. The podcast is designed to make you more self aware, which is supposed to be a bit uncomfortable.",4
Always a good listen,12/28/2018,Jacqueline531,"I pull up Code Switch frequently, and I appreciate the many ways the hosts dissect race, intersectionality, and go deep in a variety of ways. I’ve been known to share this podcast with friends and colleagues, and I appreciate the courage to tackle the ways race is lived, felt, and discussed in America and beyond. Keep up the good work.",5
Thoughtful discussion of race,12/31/2018,nymoonvirgo,"Always helpful, thoughtful, researched, nuanced, and straightforward reporting and discussions of race in America - in politics, culture, education, commerce, etc. So grateful for the work you all do to illuminate the issues.",5
An essential podcast.,01/03/2019,yesmimi,Exactly the kind of show I need in my life. Great reporting on a wide variety of topics. I love all of the people involved. Thank you!,5
I listen to this podcast daily!,01/06/2019,yung chakra,"Honestly one of my favorite, it’s a truly informative podcast that really makes me think about the norms surrounding our society.",5
Great podcast,01/08/2019,vm299215,This podcast often covers tough subjects but in a fresh way. I love their takes on things,5
HBCU❤️,01/10/2019,HBCU❤️,As a African American female in the corporate world it is hard to find words for your experience. I think this is a positive podcast that sheds light on a unique experience hopefully enlightening others who are different! Ultimately I hope that is what we all try to do one day!!!,5
"Life changing, thoughtful",01/14/2019,12244 mom,"An amazing, life changing podcast",5
Important topic very poor execution,01/29/2019,danndaze,"A lot of bashing and loving this one. I’ll start off by saying that the conversation topics discussed are so important, and I am ecstatic that a lot of the tough issues around race in America are discussed. I am (for the record) a first generation Hispanic with a bi-racial and bi-cultural fiancé (Mexican and Arabic).",1
The best podcast show,01/30/2019,Illhaus,I learn so much every time. Thank you for challenging and growing your listeners. We love evolving!,5
A different perspective,01/31/2019,APL URL,"S&G have helped me understand a different point of view and appreciate the triumphs and struggles of others. Thank you! As a new Boo, this podcast gives things to think about and talk about with my Bae.",5
Pretty Hurts,02/02/2019,JonesE3,Really disappointed in the lack of representation for other women of color concerning this topic! Is this show only representing one POC group now?? Recent episodes seem to be dominated by issues concerning the Latin X community. Is this evidence of sloppy work or divisions amongst POC?,5
Great Podcast!,02/05/2019,Tamarab1980,"Love the way the hosts bring in so many perspectives. This show is refreshing, thought provoking, and powerful. Thank you for giving a much needed platform to so many voices.",5
