Title,Date,User,Body,Rating
Awesome,04/29/2019,MMB1745,"Love your programming, thank you!",5
Awesome!,04/27/2019,Albis1990,Love hearing Latino USA. It makes Chicago traffic bearable and enjoyable! I always look forward to hear new stories!,5
This show is remarkable and vital to understand race diversity,04/27/2019,WrightsWords,"I dig Latino USA in ways that surprise me...! I mean it had segments on Danny Trejo and Grupo Fantasma, that last of which was new to me!",4
Dishonesty in reporting,04/26/2019,elzopilote2019,LatinoUSA recently doctored interviews and obfuscated who guests were in relation to their anti-chicanx editorial line on the events around the 50th anniversary MEChA conference. The continued disrespect that producers of NPR’s “Latino” programs show to chicanx and Mexican descent people is unacceptable.,1
Informative & enlightening,04/24/2019,GPhenom,"Though I'm black American, I try to stay informed of issues affecting the latinx community. Latino USA has impactful and well-told stories and topics. And the mixture of English and Spanish helps to challenge my fleeting Spanish language skills. Great job. I look forward to every episode.",5
Captivating,04/24/2019,AZ-BobbyG,I feel like I am sitting in Maria’s living room listening to a casual conversation that totally captivated me. I have never been able to listen to just half of a show. I love downloading podcasts prior to a cross country flight so that I can listen uninterrupted... Thank you María for such an awesome program!,5
Informative!,04/24/2019,Rosie Acosta,Thank you for an eye opening informative podcast!,5
AshHen86,04/23/2019,AshHen86,I LOVE latino USA. It helps me feel connected to my latino community in my sea of white in Northwest Missouri.,5
Que pasa y’all,04/23/2019,Nicky*in*durham,"Being Latina in the south can be weird. I listen to the stories and I don’t feel so out of place.
I love that there is journalistic integrity in the stories.",5
Enlightening and inspiring,04/18/2019,Alberto Antonio 27,Every episode that I’ve listen to has opened my eyes and mind to the great contributions and talents of Latinos. First class production and storytelling! Thank you!!,5
This podcast gives me life!,02/21/2019,arielggb,"I cannot begin to give enough praise for this podcast and the team producing it. The stories resonate and teach me on a daily basis and make me feel seen at a time when so much about the Latinx experience in this country is under attack. Thank for these vulnerable, challenging, beautiful stories.",5
Best Latinx educational show,03/03/2019,wendy nathalia,I absolutely love this show and how it connects us to our roots while giving us great information and educating us. I love the stories,5
My Lighthouse,03/06/2019,fabiocanales,"In the stormy seas that political and racial conversations are today, especially as a latino from Honduras. This podcast has given me hope and awareness to be proud of my heritage. Even if an unkind word or disdainful looks hurt, I regain a sense of purpose to continue working hard and informing myself no matter what after each program. Thank you Maria Hinojosa & all the people that make it happen.",5
2 different shows please!,03/08/2019,5Babs5,I love your shows like the one I heard today on sexual assault in the detention facilities. I wish the cultural stuff was either a separate show or on a set schedule. I’m just not interested in that (I routinely delete Sam Sanders’ Tuesday shows). I appreciate the stories your podcast brings to my life.,5
Real Journalism,03/12/2019,GreenHairedGirlFromSeattle,"I just listened to Latino USAs episode from the border in Texas. I couldn’t be more grateful for their on the ground journalism that seeks out real people to tell their stories and expose THEIR experiences. Latino USA always looks for the narrative or perspective that isn’t being told, even within stories that make national headlines. I also can’t say enough about their sister podcast In the Thick which is a laid back version of the news you care about from a POC perspective.",5
An Incredibly Moving Podcast,03/14/2019,Little Miss Sonshine :),This podcast sheds light on issues in latino america. It will challenge your beliefs and biases as well as educate you on problems you never knew existed. I believe everyone in America should listen to this podcast especially during these contentious times. Before you form an opinion on any topic you should ALWAYS do you research and look at all angles of the problem. Lend your ear and give it a listen- you will not be disappointed.,5
